	A21	A22	AC1	AC2	AC3	A23
NM_032291	78	151	195	342	70	87
NM_001080397	235	136	949	1981	768	128
NM_032785	360	554	713	910	887	495
NM_001145278	1263	1562	1941	4008	3583	1718
NM_001145277	1263	1562	1941	4008	3583	1718
NR_126031	409	455	234	151	328	480
NM_018090	1263	1562	1941	4008	3583	1718
NM_052998	1063	1110	1000	1747	1354	1184
NM_013943	4432	4028	7052	13804	9532	4953
NM_001293562	1063	1110	1000	1747	1354	1184
NM_001301824	1063	1110	1000	1747	1354	1184
NM_001301823	1063	1110	1000	1747	1354	1184
NM_001301826	409	455	234	151	328	480
NM_001301825	807	588	550	332	434	812
NM_003243	2253	1588	1308	1566	1648	2003
NR_036634	2253	1588	1308	1566	1648	2003
NM_001195684	2293	1648	1359	1610	1759	2011
NM_001195683	2253	1588	1308	1566	1648	2003
NM_001918	4658	5587	3688	3818	5416	5578
NM_001001740	14056	17511	15241	11099	19960	15434
NM_022457	14056	17511	15241	11099	19960	15434
NM_001303242	1339	1662	2601	3461	2732	1419
NM_001303229	1339	1662	2601	3461	2732	1419
NM_001286644	14056	17511	15241	11099	19960	15434
NM_021222	1339	1662	2601	3461	2732	1419
NM_001303243	1339	1662	2601	3461	2732	1419
NM_030806	4055	4580	315	952	656	3484
NR_130132	1339	1662	2601	3461	2732	1419
NR_130131	1339	1662	2601	3461	2732	1419
NR_130130	1339	1662	2601	3461	2732	1419
NR_130135	1339	1662	2601	3461	2732	1419
NM_001270410	7656	8106	7992	12839	11457	8009
NM_001270409	7032	7617	7213	10891	10114	7410
NM_173083	7032	7617	7213	10891	10114	7410
NM_017891	3313	3242	3486	5051	3604	3113
NM_001033582	1826	1898	3207	6555	3714	1597
NM_015215	11383	11233	14521	17133	16985	10981
NM_001242874	1989	2366	3773	8147	4421	2020
NM_199454	317	249	7587	15401	8333	293
NM_001033581	1989	2366	3773	8223	4421	2046
NM_012405	2538	2988	3488	6060	4502	3335
NM_002744	2661	2757	4709	10283	5941	2608
NM_022114	317	249	7587	15401	8333	293
NM_001099850	323	344	403	922	700	360
NM_001039361	0	1	1	0	15	1
NM_001291381	0	1	1	0	15	1
NM_032409	1530	1939	2960	4944	2477	1815
NM_017449	312	487	1889	3938	1884	418
NM_004442	312	487	1889	3938	1884	418
NR_046507	1693	1814	2011	3569	2068	1766
NM_032236	5612	5768	7766	9925	9790	5532
NM_001166007	8334	8517	11889	15238	14025	7988
NM_001166006	5319	5746	6350	7104	7424	5078
NM_004437	8334	8517	11889	15238	14025	7988
NM_001145454	5419	5716	8061	9629	11663	5533
NM_001020658	18420	18931	24336	21741	27086	17947
NM_001282562	3827	4440	5000	7458	6920	3759
NM_001282561	3827	4440	5000	7458	6920	3759
NM_001282560	3698	4103	4740	7302	6354	3438
NM_001990	3827	4440	5000	7458	6920	3759
NM_014676	18420	18931	24336	21741	27086	17947
NR_073499	8191	8839	11893	11491	11794	8001
NR_073498	4990	5629	7616	7557	7724	5315
NM_006559	4990	5629	7616	7557	7724	5315
NM_001271878	4990	5629	7616	7557	7724	5315
NM_006600	4438	5426	5057	6852	5537	3999
NM_203343	8334	8517	11889	15238	14025	7988
NM_203342	8334	8517	11889	15238	14025	7988
NM_001166005	8334	8517	11889	15238	14025	7988
NM_005119	13125	13585	17350	19244	18138	11887
NM_001281956	250	339	316	426	440	285
NM_012090	16532	16641	18874	19749	23331	15276
NM_005066	9413	10640	11841	11423	15002	10681
NM_052896	250	339	316	426	440	285
NM_021639	5220	5601	7499	9769	9201	5556
NM_130440	1911	1931	1741	2557	2138	1587
NM_001194986	53	137	1955	2150	1405	68
NM_002840	1911	1931	1741	2557	2138	1587
NM_018150	4829	4737	8493	10962	8284	5019
NM_015306	12396	14297	13482	14232	18187	12525
NM_153035	774	927	2235	1593	1905	1046
NM_007051	21416	24584	19925	16171	25676	23300
NM_001193600	2411	2298	3920	4071	4455	1985
NM_001193599	2411	2298	3920	4071	4455	1985
NM_021080	532	772	1647	1465	2103	690
NM_001193617	2411	2298	3920	4071	4455	1985
NM_002867	478	440	887	1077	864	313
NM_002979	2411	2298	3920	4071	4455	1985
NR_130900	937	1054	2448	1661	2343	1185
NM_001113411	3453	3110	4474	3580	5483	2845
NM_014288	3150	4250	3056	3827	5653	3739
NM_001017415	3575	4466	4496	6060	5276	3896
NM_001206739	3150	4250	3056	3827	5653	3739
NM_005595	540	690	300	388	295	458
NR_103473	3059	2711	4010	2921	5226	2571
NM_001293274	3199	3672	6639	4251	7124	3220
NM_001134673	540	690	300	388	295	458
NM_020925	3608	4540	7788	5937	9050	4286
NM_001198689	73	218	172	687	124	206
NM_001198688	72	193	166	685	123	169
NM_001198687	73	200	172	687	124	175
NM_001145511	540	691	355	389	297	502
NM_001145512	540	690	300	388	295	458
NM_003368	3529	4465	4440	6010	5174	3887
NM_002303	1426	2252	3465	4772	4950	2031
NM_001017416	3575	4466	4496	6060	5276	3896
NM_018291	3453	3110	4474	3580	5483	2845
NM_001003679	1426	2247	3464	4769	4766	2029
NM_001003680	1426	2229	3464	4769	4766	1998
NR_045147	3150	4250	3056	3827	5653	3739
NM_020794	700	730	26905	18008	37446	636
NM_173808	532	623	456	598	378	653
NM_001160011	287	170	927	935	919	257
NM_152996	298	195	941	978	954	277
NM_005482	1561	1737	2843	1931	3925	1634
NM_012128	85	45	1	51	7	52
NR_110682	3293	4133	2067	2647	3139	3622
NM_001134445	21451	26152	1301	2324	3335	23210
NM_032270	213	821	285	286	700	727
NR_024602	85	45	1	51	7	52
NR_125991	2	0	0	0	0	1
NM_001252271	4839	6083	3159	1808	4784	5059
NR_033998	818	945	317	757	909	1287
NM_001252269	5876	7700	3937	2799	5705	6817
NM_001252270	5876	7700	3937	2799	5705	6817
NM_002061	1290	905	1220	717	1160	1225
NM_001252273	11099	13197	7057	4875	10628	12046
NM_001006605	5876	7700	3937	2799	5705	6817
NM_001113226	661	647	58	287	135	698
NM_001113228	661	647	58	287	135	698
NM_014917	661	647	58	287	135	698
NM_001042678	3519	3189	1277	2688	1906	3061
NM_001204269	107	5	3	13	9	29
NM_002884	4576	4773	1927	2751	4054	4067
NM_006496	1834	1473	1259	2027	2141	2187
NM_001042679	3415	3106	1269	2685	1891	2942
NM_001010935	4576	4773	1927	2751	4054	4067
NM_006608	3922	3592	1365	2014	2827	3642
NM_175744	3519	3189	1277	2688	1906	3061
NM_001291896	4510	4621	1773	2505	3968	3959
NM_024408	12349	13269	11481	12219	15816	12525
NM_006784	3179	3248	1569	1209	2468	3303
NM_001200001	10443	11794	10169	11040	14753	11060
NM_002614	7247	7493	2368	1816	4070	7865
NR_104217	39733	40004	38977	44306	48189	40460
NM_001201326	7247	7493	2368	1816	4070	7865
NM_001201325	7247	7493	2368	1816	4070	7865
NM_001039703	113027	118500	103111	124243	134579	115025
NM_001278267	176728	189940	153493	185012	201427	182506
NM_001302371	113027	118500	103111	124243	134579	115025
NM_001037501	3643	4590	2767	3106	3555	3951
