motif,counts,distance,mds,ks_stat,pval_distance,pval_mds,pval_ks
HO_MAZ_HUMAN.H10MO.A,11232.0,-64.9684047042,0.0125992376301,0.0905948753859,2.59782014234e-06,0.136266178178,0.0
HO_SP3_HUMAN.H10MO.B,9140.0,-63.4477051517,0.0146816293061,0.0825533312226,2.59892394274e-05,0.100897938157,5.4733995114e-14
HO_SP4_HUMAN.H10MO.D,6438.0,-59.6751821677,0.00927631213166,0.0892922286466,0.000296487830636,0.497416402561,1.23603349778e-11
HO_ZN148_HUMAN.H10MO.D,8848.0,-47.8246828555,0.00693466174099,0.0701857881356,0.00520383418202,0.608162918547,7.18581749659e-10
HO_SP2_HUMAN.H10MO.C,6702.0,-52.6329370007,0.01461791688,0.0796631239998,0.00123346904706,0.170618336346,1.03466946122e-09
HO_TFDP1_HUMAN.H10MO.D,6217.0,-60.9594325833,0.00661655458748,0.0795428244158,0.000485899724432,0.714801120804,5.16247944393e-09
HO_SP1_HUMAN.H10MO.C,6378.0,-57.0633671317,0.0126718913123,0.0738918303307,0.00162725292254,0.253921039592,5.02786203782e-08
HO_TBX15_HUMAN.H10MO.D,8713.0,-42.845900515,0.00758965227578,0.0580979636424,0.01633445013,0.496291244074,8.69631564981e-07
HO_KLF16_HUMAN.H10MO.D,6482.0,-36.7390746817,0.00807191040514,0.064626137263,0.0651742985168,0.530213947377,2.66114091962e-06
HO_SOX21_HUMAN.H10MO.D,343.0,190.038203571,-0.0691306144944,0.269536423841,0.0610537511972,0.0162314558518,6.88617771949e-06
HO_MECP2_HUMAN.H10MO.C,22848.0,-27.9401257413,0.0115474138603,0.0307944686389,0.00706775105769,0.0881866047426,3.87302456264e-05
HO_KLF4_HUMAN.H10MO.A,8877.0,-31.6676395755,0.0102055063046,0.0487135500428,0.0387919440902,0.358762028093,5.0684499289e-05
HO_CTCF_HUMAN.H10MO.A,997.0,-91.9431883528,0.027989388371,0.141357738081,0.0328077412885,0.24594849835,8.88580925676e-05
HO_RREB1_HUMAN.H10MO.D,1895.0,73.8844450009,-0.0124243389615,0.0957370571295,0.0680766747518,0.189311777869,0.000309026517087
HO_CTCFL_HUMAN.H10MO.A,1002.0,-73.8143728602,0.029526113699,0.13102853736,0.0959377872715,0.211971606999,0.000346208938776
HO_PAX5_HUMAN.H10MO.S,61410.0,-6.19044562686,0.0159297575825,0.0167319008441,0.384388817788,1.33608096009e-06,0.000392290759143
HO_SOX11_HUMAN.H10MO.D,186.0,241.11117567,-0.0764923150244,0.302631578947,0.0643184717537,0.068948271161,0.000403541808693
HO_WT1_HUMAN.H10MO.D,2417.0,-60.254074082,0.0193053472236,0.082654017511,0.0513030796445,0.198017742389,0.000482138796445
HO_USF1_HUMAN.H10MO.A,323.0,-128.157813591,0.101433552886,0.213394538606,0.12105174899,0.0164201655253,0.00116534616012
