motif,counts,distance,mds,ks_stat,pval_distance,pval_mds,pval_ks
HO_VDR_HUMAN.H10MO.S,164273.0,-39.4359074541,0.0411575177494,0.0443466730534,0.0,0.0,0.0
HO_RARA_HUMAN.H10MO.S,76596.0,-34.7403407598,0.0353009533046,0.0395364865796,6.0708739813e-08,0.0,0.0
HO_IKZF1_HUMAN.H10MO.C,89887.0,-56.5148294937,0.046580960243,0.056614015908,0.0,0.0,0.0
HO_PAX5_HUMAN.H10MO.S,80211.0,-60.2825458268,0.0587376081759,0.0617036281851,0.0,0.0,0.0
HO_RARB_HUMAN.H10MO.D,33932.0,-69.0409560892,0.0639262431967,0.0732802521939,1.29740662658e-12,0.0,0.0
HO_HMGA1_HUMAN.H10MO.D,100081.0,-36.8918543421,0.0361715184299,0.0371856809655,1.01891162174e-10,0.0,0.0
HO_KLF15_HUMAN.H10MO.D,5214.0,-122.045812258,0.0527065326596,0.147696280936,2.12239714692e-08,2.31936247985e-10,0.0
HO_THA_HUMAN.H10MO.C,17971.0,-66.853887701,0.052533932107,0.072373767872,9.70530243505e-07,0.0,0.0
HO_RARG_HUMAN.H10MO.S,57597.0,-46.1231466243,0.0475291532035,0.0526698050925,5.879470244e-10,0.0,0.0
HO_SOX10_HUMAN.H10MO.D,110426.0,25.5030647838,-0.0195046983625,0.0269482575852,1.2758993968e-06,6.66133814775e-16,0.0
HO_SOX15_HUMAN.H10MO.D,75946.0,25.8795053519,-0.0210653529595,0.0311261879353,4.57430864796e-05,1.74749104076e-13,5.55111512313e-16
HO_LEF1_HUMAN.H10MO.C,71208.0,19.0409580681,-0.0204842811875,0.0309243121023,0.00362873913645,8.13549227985e-12,7.77156117238e-15
HO_SNAI2_HUMAN.H10MO.C,76443.0,-23.6693952817,0.0196026743818,0.0292021165574,0.000230729786299,0.0,1.21125331987e-13
HO_PITX1_HUMAN.H10MO.D,1737.0,129.173016902,-0.13122311343,0.190235142248,0.000148733194695,1.03791930606e-09,1.30562227696e-13
HO_MAFA_HUMAN.H10MO.D,1551.0,-163.274583988,0.0665439823335,0.191561414985,1.56644870506e-05,6.45336897735e-05,7.51176898461e-13
HO_TBX5_HUMAN.H10MO.D,18702.0,-44.5793525011,0.0232193354722,0.0563544247098,0.000896740826814,1.46866252493e-09,4.2874592765e-12
HO_ITF2_HUMAN.H10MO.B,14620.0,-46.9766388139,0.0231565634444,0.0534921760895,0.00148342705334,1.57369973275e-07,6.62814958474e-09
HO_GATA6_HUMAN.H10MO.S,107664.0,13.4415591121,-0.0161435802127,0.0191384451212,0.0135704256351,2.61277666169e-10,1.01218418092e-08
HO_SRY_HUMAN.H10MO.B,44802.0,-19.3124004057,7.77635971352e-07,0.0299824607908,0.0230386642205,0.0470937755634,1.20051231178e-08
HO_ESR2_HUMAN.H10MO.S,18374.0,32.7525243801,-0.0193870264123,0.0447644645377,0.0110263116989,0.00227358454451,3.73868117576e-08
HO_FOXG1_HUMAN.H10MO.D,24888.0,-27.3469970884,0.00385161058447,0.0388494049277,0.0160727466878,0.0129571782155,5.44380740486e-08
HO_NKX25_HUMAN.H10MO.C,69282.0,-20.4755174318,0.0109798010641,0.023113166932,0.00274515088179,2.38187247703e-12,5.58986260613e-08
HO_FOXL1_HUMAN.H10MO.D,19532.0,-32.6865412042,0.00792077314239,0.042740305939,0.0110268962841,0.0018475495899,1.52420560173e-07
HO_KLF6_HUMAN.H10MO.D,19261.0,-29.6152898021,0.0234389977782,0.041573608093,0.00909056493371,4.50317760858e-09,1.88474203022e-07
HO_EGR4_HUMAN.H10MO.D,3884.0,-68.4628767995,0.0411123165648,0.0928082909258,0.00268252302091,0.000228157354266,2.51706271159e-07
HO_HTF4_HUMAN.H10MO.B,9756.0,-53.0126571211,0.0382279233385,0.059693709879,0.00345868970928,3.69963282232e-09,3.06515775317e-07
HO_FOXO1_HUMAN.H10MO.C,25007.0,-18.7418537031,-0.000234326450155,0.0336408468676,0.093155902131,0.169048520716,2.97366100566e-06
HO_PRRX1_HUMAN.H10MO.D,31731.0,23.2962768339,-0.0179132999934,0.0282190571998,0.0191327836043,9.62569475842e-05,9.44245643808e-06
HO_FOXC1_HUMAN.H10MO.C,1028.0,-107.844448191,0.106487586488,0.151553297667,0.0228137776824,4.84470575812e-06,2.91624957718e-05
HO_THB_HUMAN.H10MO.C,5831.0,-59.1262110334,0.0468687960893,0.0651553535936,0.012701760702,9.48960745539e-08,2.95101345684e-05
HO_SOX13_HUMAN.H10MO.D,21726.0,28.6652985343,-0.0158831494022,0.0322642349802,0.0173627245296,0.00419143428094,3.00614666363e-05
HO_PAX5_HUMAN.H10MO.A,5327.0,-51.5373477615,0.0218299403804,0.0655783208788,0.0371576703104,0.00323921968189,5.76112488571e-05
HO_EHF_HUMAN.H10MO.C,7930.0,-45.0006616584,0.0430976360768,0.0523826193249,0.0203504399802,4.57176763113e-09,6.02398174329e-05
HO_PRRX2_HUMAN.H10MO.C,67000.0,11.740136261,-0.0165211486667,0.0176228977938,0.0922098953209,5.25232204396e-08,7.75526487896e-05
HO_CPEB1_HUMAN.H10MO.D,30422.0,-11.748865732,0.00381470707395,0.0262189309611,0.255057653141,0.00524906286462,0.000105118712021
HO_VDR_HUMAN.H10MO.B,1103.0,-94.1910147582,0.0428447840819,0.138872603305,0.0395173716513,0.0641019144085,0.000106984538602
HO_TBX2_HUMAN.H10MO.D,3756.0,-59.6527608567,0.0298812292543,0.0763756615797,0.0421561892633,0.00213320416552,0.000115956164855
HO_GATA1_HUMAN.H10MO.A,1271.0,79.1002120828,-0.0820217280087,0.123330096257,0.0376128705657,0.000676204340544,0.00012696050263
HO_ZN219_HUMAN.H10MO.D,3105.0,-53.7386568461,0.0492905976623,0.080718646249,0.0881783501541,6.61542168852e-05,0.000177859802323
HO_FOXC2_HUMAN.H10MO.D,1414.0,68.6346570895,-0.046575732899,0.113969950203,0.0717605431901,0.0429084915675,0.000215982432242
HO_SRBP2_HUMAN.H10MO.B,1604.0,-67.5973410192,0.0116319533949,0.104701817636,0.119364237416,0.233770536703,0.000375043292603
HO_MYCN_HUMAN.H10MO.B,3463.0,39.8521228959,-0.0270211079593,0.069982089519,0.167671668205,0.0479108893034,0.000548524195738
HO_P63_HUMAN.H10MO.S,898.0,-63.7862917015,0.0403361344538,0.134195545238,0.259125233391,0.0293510915698,0.000584705899334
HO_MZF1_HUMAN.H10MO.D,6352.0,31.9172982335,-0.0333513089519,0.0511855818821,0.132461908528,0.000392365999993,0.000592219601316
HO_SHOX2_HUMAN.H10MO.D,3397.0,-32.5838068829,-0.00959841740851,0.0700476150349,0.299859386607,0.607917553491,0.000609367492057
HO_FOXJ3_HUMAN.H10MO.S,15572.0,-17.5024499179,-0.0055353940569,0.0334399424284,0.224708624919,0.976534103829,0.000615342968228
HO_ZN143_HUMAN.H10MO.A,396.0,139.073927639,-0.0078019265982,0.200708002575,0.103967701646,0.936512016335,0.000793591972101
HO_ARI3A_HUMAN.H10MO.S,72968.0,6.91539596535,-0.0124026317896,0.0148308322813,0.302224740115,0.000331625822811,0.000820751554111
HO_TYY2_HUMAN.H10MO.D,143.0,-231.17955006,0.240414710485,0.318511066398,0.0809313730711,0.000173072505649,0.00111789570118
HO_CDX2_HUMAN.H10MO.C,30946.0,19.7408859259,-0.0166420744224,0.0219030675219,0.0482542898619,0.000449929035152,0.00130479789919
HO_RFX2_HUMAN.H10MO.C,481.0,-110.223132537,0.0912913872032,0.173395611869,0.0841204838982,0.00607154722331,0.00151594980448
HO_SHOX_HUMAN.H10MO.D,4571.0,-29.0364399311,-0.0128040357984,0.056459810823,0.282979754838,0.293562398563,0.00169232389712
HO_PRGR_HUMAN.H10MO.S,67187.0,8.59625355612,-0.00943647257525,0.0145399731113,0.208327862156,0.0709145524919,0.00196288785227
HO_BARX2_HUMAN.H10MO.D,4111.0,-35.5333430112,-0.00562752849081,0.0584469475327,0.205567844943,0.977180838832,0.00207031907854
HO_TGIF1_HUMAN.H10MO.S,77537.0,-5.94124302026,0.00540692148485,0.0134596022221,0.352121058871,7.04399385931e-07,0.00243583230645
HO_MEF2B_HUMAN.H10MO.D,237.0,208.586610188,-0.103332837375,0.235196122974,0.0787598860095,0.00536710167279,0.00318459799668
HO_BARH2_HUMAN.H10MO.D,1468.0,66.8844725331,-0.0239277938265,0.0930449723592,0.157910175656,0.180091700592,0.0032982446269
HO_NF2L2_HUMAN.H10MO.D,467.0,121.005127286,-0.0378983130272,0.167684729064,0.13709166171,0.270981141133,0.00370228570378
HO_FOXD1_HUMAN.H10MO.D,1206.0,-73.7387305925,0.0698810736538,0.105098920302,0.100131810691,0.000672750047702,0.0037927928669
HO_FOXJ3_HUMAN.H10MO.A,9794.0,-26.3494317406,0.0041352148767,0.0362939713104,0.147563095048,0.108904796655,0.00499831211838
HO_HXC12_HUMAN.H10MO.D,1099.0,79.9146954794,-0.0323936932633,0.105082864601,0.144856147878,0.0952562391846,0.00511536074945
HO_HXD9_HUMAN.H10MO.D,15743.0,19.5471326265,-0.0187374599475,0.0276933611582,0.166861804992,0.00164317884614,0.00526301618103
HO_SP1_HUMAN.H10MO.S,3678.0,-31.8674850203,0.0293186656876,0.0576755207922,0.161577963134,0.00505668589644,0.00536714323235
HO_PROX1_HUMAN.H10MO.D,1032.0,48.5840817004,0.00192543322248,0.108779624592,0.351555136168,0.706594707788,0.00578201231182
HO_PAX4_HUMAN.H10MO.D,556.0,81.9067141808,0.00495780590717,0.144504217308,0.304363609828,0.613756933689,0.00604275690318
HO_HXC10_HUMAN.H10MO.D,14002.0,20.3180596164,-0.0163045659784,0.0288735009448,0.179347469245,0.0134305186683,0.00688708023329
HO_GRHL1_HUMAN.H10MO.D,20.0,-564.576384256,0.2,0.857142857143,0.14342930971,0.265313088176,0.00765470151763
HO_ISL1_HUMAN.H10MO.D,43879.0,7.2343843554,-0.0123758777345,0.0160414719615,0.398848112982,0.00833361143306,0.00835022071815
HO_INSM1_HUMAN.H10MO.C,176.0,174.974653329,-0.0792824866493,0.252525252525,0.207333222468,0.0882794705237,0.00858375766632
HO_FUBP1_HUMAN.H10MO.D,14551.0,-23.7481838611,0.0155932009858,0.0281673945616,0.104627118124,4.5623315686e-05,0.008891218552
HO_PO2F1_HUMAN.H10MO.B,4083.0,44.2025595318,-0.0237844285404,0.0513406521946,0.107250373389,0.014482034536,0.00906010683681
HO_BRCA1_HUMAN.H10MO.D,7197.0,28.2699728588,-0.0139536653009,0.0384230305736,0.167719892453,0.237102067783,0.0103927161849
HO_ZN410_HUMAN.H10MO.D,42.0,343.814394782,-0.0962962962963,0.510989010989,0.199654429534,0.273067988052,0.0104119115173
HO_GLIS3_HUMAN.H10MO.D,862.0,-73.4341606035,0.0513441538418,0.111434108527,0.184008303245,0.0122158721285,0.0108420662989
HO_HXD11_HUMAN.H10MO.D,2137.0,48.9085231096,-0.0240692706058,0.0701710782486,0.210949415964,0.0767552591344,0.0112731114569
HO_NFAC4_HUMAN.H10MO.C,1160.0,47.9333500039,-0.0476104593317,0.0941783301158,0.35683712025,0.00454389438183,0.0115444849321
HO_SPDEF_HUMAN.H10MO.D,1138.0,47.1924396688,0.00147734887563,0.0949553967996,0.373404372116,0.635406846492,0.0115760975667
HO_SOX5_HUMAN.H10MO.C,26975.0,3.63207442824,-0.0176033604039,0.0196137165519,0.741987128945,0.000143615603974,0.0130823012718
HO_PO6F1_HUMAN.H10MO.D,305.0,-97.4897614905,-0.0228623885295,0.180489101542,0.355865360826,0.531421719167,0.0134222184797
HO_TEF_HUMAN.H10MO.D,879.0,81.0057557311,-0.0418560606061,0.106394224163,0.177472253407,0.0623185319356,0.0138954324911
HO_PPARA_HUMAN.H10MO.S,28675.0,12.4965282046,-0.00741011918451,0.0190464672662,0.228447266169,0.597351145484,0.0140591447081
HO_ARI5B_HUMAN.H10MO.C,762.0,85.716052406,-0.048939479638,0.114544459372,0.184068878588,0.0477322629937,0.0141785060177
HO_RREB1_HUMAN.H10MO.D,2103.0,-44.3022487692,-0.00364483713897,0.0689688312667,0.243210389193,0.90208973033,0.0155125771689
HO_FOXP3_HUMAN.H10MO.D,10182.0,26.2029727994,-0.0200466579011,0.0310457356988,0.134872704187,0.00723147826345,0.0155257662197
HO_UBIP1_HUMAN.H10MO.D,152628.0,5.05846414652,-0.00574899040093,0.00798399047322,0.259427591514,0.82161221346,0.0177573063115
HO_ZN148_HUMAN.H10MO.D,9360.0,-21.4157606215,0.0132408246748,0.0320308837153,0.193449009521,0.0053835710061,0.0181746866475
HO_HXD4_HUMAN.H10MO.D,15593.0,13.5630984734,-0.0195170474871,0.0244804234069,0.351182424306,0.00108703327102,0.0209716355082
HO_NR2E3_HUMAN.H10MO.C,693.0,-61.5282221171,0.0177244582043,0.115124407378,0.365612019298,0.251364076858,0.0217217264296
HO_SOX2_HUMAN.H10MO.B,375.0,116.308624127,-0.0706744868035,0.15581450513,0.211367583105,0.0178762091656,0.0219373386758
HO_FOXD3_HUMAN.H10MO.D,22262.0,-3.07411039449,-0.00096058196817,0.0205739229125,0.795999029861,0.268568139031,0.0222319769892
HO_PURA_HUMAN.H10MO.D,3660.0,-20.2221309117,0.025670924242,0.0506271408422,0.46363476207,0.00516189891494,0.0224713010721
HO_RX_HUMAN.H10MO.D,3738.0,25.1476975046,-0.0243129939945,0.0494603589313,0.399402691552,0.0124810033977,0.0231835450468
HO_HBP1_HUMAN.H10MO.D,5220.0,27.3917059075,-0.0256351923761,0.0413967694693,0.270456595835,0.00608506569126,0.0237627064277
HO_E2F1_HUMAN.H10MO.A,256.0,-118.118672522,0.0100122100122,0.182697674419,0.169437830341,0.748176599532,0.0250119181095
HO_CEBPB_HUMAN.H10MO.A,465.0,114.174180093,-0.0455146705147,0.140759022496,0.200224841377,0.0806487049593,0.0261164172893
HO_DLX1_HUMAN.H10MO.D,1696.0,56.3482085883,-0.010643115942,0.0716321565122,0.195963476968,0.656804088345,0.0265262622699
HO_HXB7_HUMAN.H10MO.C,400.0,117.138026923,-0.0323357413141,0.148962344887,0.219826916441,0.28817303877,0.0275963505595
HO_HXA5_HUMAN.H10MO.D,400.0,117.138026923,-0.0323357413141,0.148962344887,0.219826916441,0.28817303877,0.0275963505595
