motif,counts,distance,mds,ks_stat,pval_distance,pval_mds,pval_ks
HO_ARNT_HUMAN.H10MO.B,1885.0,-181.099807382,0.0324194125021,0.210928571429,4.48785743457e-07,0.00125903853244,0.0
HO_MECP2_HUMAN.H10MO.C,35220.0,-193.986256424,0.0828606500964,0.206881222689,0.0,0.0,0.0
HO_KLF13_HUMAN.H10MO.D,1326.0,-249.875265472,0.0915879442195,0.328517215846,1.89071647227e-10,2.86288770468e-10,0.0
HO_TGIF1_HUMAN.H10MO.S,41148.0,49.6132253617,-0.0232414340802,0.0510440595554,3.75850557788e-07,0.333142022513,0.0
HO_FOXJ3_HUMAN.H10MO.S,7386.0,189.227561433,-0.0746785588834,0.222863526968,9.68114477473e-14,2.6645352591e-15,0.0
HO_HXD9_HUMAN.H10MO.D,7442.0,213.090545801,-0.0704492240229,0.23191681736,2.58904009343e-13,1.13724609729e-08,0.0
HO_TBX2_HUMAN.H10MO.D,1526.0,277.354272218,-0.0668538668539,0.326577514952,3.25113102898e-05,0.0125263135534,0.0
HO_PPARA_HUMAN.H10MO.S,14823.0,123.386407619,-0.0657898517361,0.132602757895,3.75255382323e-14,2.22044604925e-16,0.0
HO_ISL1_HUMAN.H10MO.D,22809.0,126.565840471,-0.0565108609592,0.140061778991,0.0,0.0,0.0
HO_SOX15_HUMAN.H10MO.D,38135.0,134.360132235,-0.0556817031786,0.143537097297,0.0,0.0,0.0
HO_TBX1_HUMAN.H10MO.D,2049.0,-197.903914947,0.0432118121018,0.245296957838,1.11677800341e-09,3.5437643209e-05,0.0
HO_THB_HUMAN.H10MO.C,2798.0,207.987716473,-0.0722157288362,0.228533009704,4.35872130167e-07,9.41022761847e-06,0.0
HO_ARI3A_HUMAN.H10MO.S,35477.0,159.360326779,-0.0599935906361,0.168610326329,0.0,0.0,0.0
HO_PURA_HUMAN.H10MO.D,3391.0,-156.411654311,0.0287507546341,0.186992396226,2.11850781362e-09,3.32832453573e-05,0.0
HO_KLF4_HUMAN.H10MO.A,12315.0,-221.476632389,0.0687023881757,0.267031697677,0.0,0.0,0.0
HO_DLX2_HUMAN.H10MO.D,3430.0,185.447510498,-0.0512232699733,0.211397174859,2.48592482767e-05,0.00809562232355,0.0
HO_SP4_HUMAN.H10MO.D,14329.0,-210.562678906,0.110573700901,0.251854610848,0.0,0.0,0.0
HO_PRGR_HUMAN.H10MO.S,34048.0,126.29821356,-0.0463985267964,0.134357132558,0.0,4.6078696414e-12,0.0
HO_FOXP2_HUMAN.H10MO.A,4475.0,136.097328619,-0.0658619142776,0.167222422446,1.16894423485e-05,2.59145083481e-06,0.0
HO_FOXM1_HUMAN.H10MO.D,4230.0,236.487369593,-0.0748301063079,0.248914104096,4.92623719595e-11,3.41764363254e-07,0.0
HO_FOXL1_HUMAN.H10MO.D,8686.0,280.136031867,-0.0767312429041,0.303910480869,0.0,0.0,0.0
HO_ATF3_HUMAN.H10MO.A,903.0,-283.405608176,0.126021562625,0.382169016725,5.93880500332e-11,5.8175259694e-06,0.0
HO_PBX3_HUMAN.H10MO.B,694.0,-321.227960548,0.0989032901296,0.379352703753,8.53794501765e-09,1.53188158114e-06,0.0
HO_ELF2_HUMAN.H10MO.C,1167.0,-330.801245903,0.203483645006,0.349715318383,2.22044604925e-16,6.66133814775e-16,0.0
HO_ELK1_HUMAN.H10MO.A,886.0,-352.54876288,0.153849099962,0.434329583313,1.24344978758e-14,2.9449872212e-05,0.0
HO_EGR4_HUMAN.H10MO.D,5006.0,-217.795188118,0.100458674778,0.254046954169,0.0,0.0,0.0
