motif,counts,distance,mds,ks_stat,pval_distance,pval_mds,pval_ks
HO_KLF4_HUMAN.H10MO.A,17625.0,-24.3844132121,0.00780047273601,0.0349290206167,0.00683183660039,0.161860480721,4.70845218492e-05
HO_IKZF1_HUMAN.H10MO.C,77729.0,12.4901328066,-0.00201987589199,0.0157816783026,0.0594987923307,0.262899946303,0.000123757391063
HO_LMX1A_HUMAN.H10MO.D,3351.0,49.250841883,-0.0106697806513,0.0720028706272,0.125233647148,0.166899774677,0.000323788552268
HO_SHOX2_HUMAN.H10MO.D,2607.0,47.7655892493,-0.00545524544189,0.0799162326384,0.188663933025,0.538118741968,0.000450671803554
HO_LHX3_HUMAN.H10MO.C,2218.0,49.4826679742,-0.00113059604373,0.084281340881,0.210946449496,0.905964222744,0.000704434177609
HO_LHX4_HUMAN.H10MO.D,2755.0,41.9372229708,-0.0106930171278,0.0756138289776,0.236550951544,0.214711490613,0.000709047758616
HO_RREB1_HUMAN.H10MO.D,2685.0,61.2427351324,-0.0082974872482,0.0768265847291,0.0731477016015,0.383309054257,0.000722740902405
HO_MYF6_HUMAN.H10MO.C,34024.0,-13.9471766916,-0.00122464725357,0.0202792165996,0.114558396743,0.740715944494,0.00186594688822
HO_MAZ_HUMAN.H10MO.A,23828.0,-14.2375097573,0.00669471367531,0.0239488500953,0.0634237851522,0.159635765336,0.00231361549636
HO_NKX25_HUMAN.H10MO.C,58785.0,11.1905605506,-0.00455743044764,0.0150062100007,0.136417608082,0.0323667789553,0.00265463739257
HO_MEOX2_HUMAN.H10MO.D,2037.0,40.1906232037,-0.00680236694605,0.0791258150205,0.313499316127,0.523981729657,0.00319011090286
HO_ZBT7A_HUMAN.H10MO.D,1039.0,-80.3157039861,0.0339274908673,0.109303284836,0.0793040368627,0.122281852946,0.00389032596484
HO_IRX2_HUMAN.H10MO.D,324.0,-128.245416908,0.0931968600893,0.184921098773,0.183399694044,0.0120531026373,0.00729337333652
