motif,counts,distance,mds,ks_stat,pval_distance,pval_mds,pval_ks
HO_VDR_HUMAN.H10MO.S,165200.0,-40.0115558641,0.0291876285473,0.0401548403299,0.0,0.0,0.0
HO_FOXG1_HUMAN.H10MO.D,23132.0,-52.6349653875,0.0145551917284,0.0646289330587,5.61678620248e-05,6.06131291294e-05,0.0
HO_RARB_HUMAN.H10MO.D,35281.0,-70.9760161788,0.0472617213929,0.0713460714282,4.43913794612e-11,0.0,0.0
HO_IKZF1_HUMAN.H10MO.C,91646.0,-60.360137216,0.0362541659697,0.060246977388,0.0,0.0,0.0
HO_RARA_HUMAN.H10MO.S,78367.0,-35.8883353704,0.0262426903621,0.0372836151648,1.95194401753e-07,0.0,0.0
HO_THA_HUMAN.H10MO.C,18517.0,-85.6019279927,0.0543624928086,0.0882355846383,1.10332381009e-08,0.0,0.0
HO_PAX5_HUMAN.H10MO.S,83489.0,-60.4206379537,0.0443868911387,0.0604964153715,0.0,0.0,0.0
HO_RARG_HUMAN.H10MO.S,59377.0,-47.244833324,0.0334896581985,0.0471207092826,4.84397499889e-09,0.0,0.0
HO_HMGA1_HUMAN.H10MO.D,96820.0,-47.3910692385,0.0295553661185,0.0474318700699,1.72528658027e-13,0.0,0.0
HO_NKX25_HUMAN.H10MO.C,67659.0,-33.8078948123,0.0170475702524,0.0339885459082,7.37674436735e-06,2.61124455392e-13,1.11022302463e-14
HO_TBX5_HUMAN.H10MO.D,18589.0,-59.2403950488,0.0275158802875,0.0654702810849,6.56247944493e-05,2.00922989357e-09,3.17523785043e-14
HO_SRY_HUMAN.H10MO.B,43742.0,-35.5474352657,0.0102498972143,0.0402700231125,0.000152087159156,0.000128099178742,1.63757896132e-13
HO_FOXL1_HUMAN.H10MO.D,18274.0,-52.1768074346,0.0149364699652,0.0623083715484,0.000381392601636,0.000297074593131,3.13304937549e-13
HO_SNAI2_HUMAN.H10MO.C,79942.0,-25.2773114614,0.017062273965,0.0291571303808,0.00015832124644,4.49418280368e-13,6.42819131258e-13
