motif,counts,distance,mds,ks_stat,pval_distance,pval_mds,pval_ks
HO_MAZ_HUMAN.H10MO.A,20291.0,23.0330631721,-0.00239924800686,0.0391171409354,0.00502815739925,0.63760876753,3.51898159834e-07
HO_SP3_HUMAN.H10MO.B,17708.0,16.1574261848,-0.00015020060896,0.0333045241162,0.0610147377463,0.977809244641,0.000105671343176
HO_MECP2_HUMAN.H10MO.C,42292.0,16.2918292175,-0.0128865454404,0.0213569208598,0.0100137494248,0.00105370769279,0.000127190845822
HO_MNT_HUMAN.H10MO.D,8522.0,31.2215618691,-0.0041813899128,0.0469473650647,0.0757700566666,0.524560840175,0.000166092786342
HO_EMX2_HUMAN.H10MO.D,1141.0,-65.4954202655,-0.0166193059502,0.125061723823,0.24445727028,0.162239655906,0.000238849601709
HO_LHX3_HUMAN.H10MO.C,2039.0,-56.1683381563,0.0100639033216,0.093765554641,0.174836022884,0.29610536368,0.000243561705883
HO_SHOX_HUMAN.H10MO.D,3154.0,-47.8082108031,-0.00262288037016,0.0722656668625,0.145997630842,0.752648416822,0.000513954796529
HO_LHX4_HUMAN.H10MO.D,2560.0,-46.069327476,0.00264062883812,0.0764109159506,0.212397133905,0.776060420139,0.00111131370751
HO_EMX1_HUMAN.H10MO.D,995.0,-72.3487572164,-0.0078464187829,0.120602321617,0.235436219853,0.523781420364,0.00130523548854
HO_SHOX2_HUMAN.H10MO.D,2449.0,-51.6390327364,0.00363469843435,0.0764993183395,0.168804542149,0.693873302988,0.00147047317156
HO_ZSCA4_HUMAN.H10MO.D,324.0,-162.857041373,0.0527845777234,0.207311877929,0.119215898547,0.0702177697611,0.00165360091325
HO_MYF6_HUMAN.H10MO.C,30000.0,15.9899198524,-0.00145234919925,0.0215695989387,0.089281294646,0.713305045149,0.00186227813763
HO_LHX9_HUMAN.H10MO.D,2302.0,-46.7599566514,-0.00793226381462,0.0768261707445,0.222853930652,0.399423962304,0.00211050150975
HO_IKZF1_HUMAN.H10MO.C,70046.0,-10.7017100118,0.00443352825144,0.0138077508527,0.125737790067,0.0192006265412,0.00260396049412
HO_GBX1_HUMAN.H10MO.D,3222.0,-41.6542764721,0.00264634022036,0.0636585148048,0.198795053932,0.75186866644,0.00280920509223
HO_SP1_HUMAN.H10MO.C,12489.0,16.4617214315,0.00328672418434,0.0320278768981,0.109157364236,0.606416819461,0.00323271241868
HO_KLF4_HUMAN.H10MO.A,15188.0,18.3796636436,-0.000551918997725,0.0287013133847,0.0585348302276,0.925613450951,0.00377164320052
HO_PAX5_HUMAN.H10MO.S,63162.0,-9.78549708198,0.00426973369444,0.0138846313033,0.181727040517,0.0375376949671,0.00466744874295
HO_TBX1_HUMAN.H10MO.D,2691.0,48.6274180947,-0.0269704498068,0.0668478831634,0.0917981710336,0.0278691293289,0.00492202572596
HO_VDR_HUMAN.H10MO.S,129684.0,-6.53270229213,0.00610878046926,0.00957840683946,0.192960409699,4.36280962239e-05,0.00534910846699
HO_LMX1A_HUMAN.H10MO.D,2981.0,-35.2669125125,0.00597410648205,0.0603532289283,0.296959504272,0.476538118578,0.00855499681851
HO_FIGLA_HUMAN.H10MO.D,744.0,72.2964584928,-0.0427260527366,0.119041367641,0.27942627518,0.0353544766495,0.00962688475845
HO_ZN219_HUMAN.H10MO.D,2846.0,-34.4914508949,0.00423000424787,0.060647533175,0.313780822736,0.649622806741,0.0104569656371
HO_HMGA1_HUMAN.H10MO.D,74586.0,-8.78721056768,0.00599170527779,0.0118615624033,0.195151827129,0.00104252580775,0.0108310173794
HO_SOX3_HUMAN.H10MO.D,590.0,-62.8253612251,0.00786559492186,0.131778817209,0.38801503644,0.755502859415,0.0109127808102
HO_MAFF_HUMAN.H10MO.A,130.0,189.245987564,-0.0213183043372,0.282388663968,0.252117417187,0.637971473881,0.0113119518131
HO_HXA13_HUMAN.H10MO.C,390.0,-113.343310686,0.0199942045784,0.160651549026,0.206827003941,0.43710700102,0.011802781501
HO_PROP1_HUMAN.H10MO.D,968.0,-69.1015214225,0.0145544178019,0.102264927934,0.238415303487,0.391371384618,0.0118268231718
HO_HXA2_HUMAN.H10MO.D,1134.0,-53.9527963297,-0.00594087151464,0.0937906209379,0.309495090423,0.731255320896,0.0128310541614
HO_IRX3_HUMAN.H10MO.D,1048.0,-48.1616009046,0.00339162809196,0.097795226688,0.383715129216,0.82576223588,0.0131438812257
HO_BARH2_HUMAN.H10MO.D,1041.0,-53.6561017994,0.00266154571794,0.0981818728438,0.349643675118,0.879415281431,0.0132589152631
HO_NR4A3_HUMAN.H10MO.D,656.0,-86.6081359512,0.039550566013,0.122716291711,0.193951864014,0.0914804733435,0.0137582031126
HO_TAL1_HUMAN.H10MO.A,365.0,-84.6356719016,0.0778947368421,0.162652800584,0.336320734709,0.0224100600711,0.0144967353823
HO_SOX11_HUMAN.H10MO.D,156.0,-164.871216133,0.0149597238205,0.246963562753,0.240041381535,0.735369998022,0.0147996209667
HO_LMX1B_HUMAN.H10MO.D,2899.0,-35.9070990703,0.00642026099913,0.0578127319304,0.297073265763,0.447470788069,0.0154452533991
HO_ISX_HUMAN.H10MO.D,2100.0,-45.1301608329,0.00269734549257,0.0669831094137,0.26005728402,0.796212334431,0.0172150653612
HO_SP2_HUMAN.H10MO.C,16094.0,7.74982094296,0.00992293665366,0.0242726269554,0.341557882155,0.0987029038993,0.0172157030869
HO_PRRX2_HUMAN.H10MO.C,47764.0,-4.48529773903,-0.00314551069028,0.0140898250357,0.587688440756,0.196681060015,0.0177163294272
HO_ZN148_HUMAN.H10MO.D,10693.0,15.3317064608,0.00366612582904,0.0294332385299,0.286638533446,0.536516250403,0.0191226477482
HO_PO4F1_HUMAN.H10MO.D,621.0,90.855986617,-0.0096208262592,0.120635456444,0.228858248725,0.623028029341,0.0211174139727
HO_KLF16_HUMAN.H10MO.D,9528.0,12.2987285141,-0.00825797199079,0.0308295994071,0.394220595789,0.19824466309,0.0212956763786
HO_TFDP1_HUMAN.H10MO.D,14393.0,9.4405933837,0.00814904274348,0.0249770781013,0.282376497763,0.204575392906,0.0221579958094
HO_SP4_HUMAN.H10MO.D,15501.0,6.60114613796,0.00872114916897,0.0237938806815,0.417140222562,0.157124699109,0.0244939785596
HO_ARX_HUMAN.H10MO.D,459.0,70.3148881751,-0.00436293436293,0.137353433836,0.412741288949,0.853470926063,0.0259702696933
HO_THAP1_HUMAN.H10MO.D,1088.0,60.6474876195,-0.00767775074344,0.0880159276607,0.0726027109885,0.776004696073,0.0279296268924
HO_NR0B1_HUMAN.H10MO.D,584.0,60.7467713777,0.0158450910712,0.118894662258,0.29796831827,0.623154556186,0.0299297289481
HO_PO3F4_HUMAN.H10MO.D,957.0,42.7748400895,0.00988843813387,0.0930349962247,0.446875006216,0.569454887806,0.03006764604
HO_KLF1_HUMAN.H10MO.C,1665.0,55.246641403,-0.0169426066127,0.0706917801267,0.164787941415,0.290335568925,0.0301072794995
HO_FOXO1_HUMAN.H10MO.C,19253.0,-12.015666424,-0.00311751899176,0.0208362783212,0.365385177454,0.380956007698,0.030956042658
HO_FOXK1_HUMAN.H10MO.D,109.0,182.416738132,-0.14241592313,0.270135424091,0.247806580022,0.052262082283,0.0351335160812
HO_DLX6_HUMAN.H10MO.D,2748.0,-30.1717723459,0.01109223586,0.0539857386122,0.388533665246,0.234536219906,0.0356575268939
HO_MITF_HUMAN.H10MO.C,873.0,-60.14597701,-0.0125399764349,0.0952335658423,0.299130711522,0.552356064007,0.0362869215857
HO_ZBT7A_HUMAN.H10MO.D,873.0,79.6889610692,-0.0631501057082,0.0953283632811,0.11526444066,0.0103613451092,0.0366955914361
HO_FOXI1_HUMAN.H10MO.B,959.0,5.25443198298,0.0181541273226,0.0901761837345,0.914003304549,0.368116889649,0.0383797164899
HO_PRGR_HUMAN.H10MO.S,49249.0,-9.74804230604,0.00124686862191,0.0126334938749,0.219596699987,0.633764912358,0.0397019326472
HO_PO2F1_HUMAN.H10MO.B,2892.0,28.7440677927,0.00437423462905,0.0517642508284,0.373097925163,0.675689739103,0.0408805496354
HO_ZIC3_HUMAN.H10MO.C,1120.0,23.4930597916,-0.0265965080124,0.08239240085,0.623813285936,0.118607420156,0.0424676331815
HO_HXA10_HUMAN.H10MO.C,1018.0,-59.1858739555,0.0115883562727,0.0873748625026,0.311782018234,0.458269225848,0.042739719855
HO_FOXL1_HUMAN.H10MO.D,13883.0,6.92654593698,-0.00307512768256,0.0235856445844,0.658899317123,0.452706639104,0.0429447214291
