motif,counts,distance,mds,ks_stat,pval_distance,pval_mds,pval_ks
HO_KLF4_HUMAN.H10MO.A,13962.0,-26.7097615928,0.0366081048086,0.0603156112519,0.00646443285269,1.30662278774e-08,1.81613613037e-11
HO_TFDP1_HUMAN.H10MO.D,13355.0,-23.8911804251,0.0341603639796,0.050911404366,0.00680876537384,5.90952625501e-07,5.86198551922e-08
HO_SP1_HUMAN.H10MO.C,11552.0,-22.1257530217,0.0351016512315,0.0534370477427,0.0324371513674,3.67364536125e-07,1.33516064871e-07
HO_SP4_HUMAN.H10MO.D,14400.0,-19.4110114707,0.0329443164822,0.0477974930068,0.0188085688847,4.99206810112e-07,1.4104963364e-07
HO_SP2_HUMAN.H10MO.C,14899.0,-21.1952778656,0.03176121429,0.0467446038258,0.0100844744747,6.60472087244e-07,1.67015289376e-07
HO_SP3_HUMAN.H10MO.B,16296.0,-17.6292755213,0.0233706818688,0.0390544462883,0.043730155011,5.58535888622e-05,7.96902131595e-06
HO_SP1_HUMAN.H10MO.S,6237.0,-17.5819444684,0.0390462982098,0.0629536002778,0.211865508354,3.79130693287e-05,8.16586461627e-06
HO_TYY2_HUMAN.H10MO.D,276.0,214.852624054,-0.0695124547584,0.295684113866,0.00350331836291,0.193493623241,1.00513791131e-05
HO_KLF6_HUMAN.H10MO.D,23329.0,-19.5582092201,0.0178477467795,0.0307119816925,0.0299133295352,0.000158414255144,3.35909471856e-05
HO_EGR4_HUMAN.H10MO.D,5243.0,-28.6095144641,0.0436642453592,0.063646619814,0.0700452256123,6.14899333806e-05,4.71316391232e-05
HO_FOXG1_HUMAN.H10MO.D,14912.0,23.7779524933,-0.00696555591843,0.0343199196369,0.118124227388,0.0780933199875,0.00031426148957
HO_NRF1_HUMAN.H10MO.A,1801.0,-22.7492219259,0.088810864541,0.0954023073747,0.147768798649,4.28543153006e-05,0.00050535362744
HO_EMX2_HUMAN.H10MO.D,988.0,-77.6856371542,0.0160337552743,0.122345221399,0.202144372343,0.283261220588,0.00123137473453
HO_ATF3_HUMAN.H10MO.A,1102.0,-32.8542982575,0.0579581567797,0.115114343526,0.316902656144,0.0195161232164,0.00126852832567
HO_HMGA1_HUMAN.H10MO.D,62467.0,10.3095920192,-0.00267072046465,0.015220330502,0.167957691497,0.167388507138,0.001513051949
HO_EMX1_HUMAN.H10MO.D,890.0,-83.7359466063,0.0211465591004,0.123153667084,0.195973313813,0.160209400935,0.00224584288864
HO_SOX17_HUMAN.H10MO.D,181.0,136.752182973,-0.0568069306931,0.270886075949,0.308473700117,0.0648017940421,0.00235098394567
HO_ZSCA4_HUMAN.H10MO.D,249.0,-195.97831906,0.0879679869778,0.233374724062,0.11156788098,0.0127537346759,0.00266960712919
HO_MITF_HUMAN.H10MO.C,792.0,-79.8488033211,-0.0143207855974,0.124562248996,0.188625382319,0.517714699963,0.00395914437079
HO_ETV1_HUMAN.H10MO.B,1483.0,-27.2285838734,0.0798738009264,0.0893650636911,0.321726035327,0.000681931691489,0.00508219426914
HO_ATF2_HUMAN.H10MO.B,798.0,-27.6483101941,0.0793334677826,0.120703087886,0.418871863749,0.00779088796189,0.00556411582695
HO_NFYC_HUMAN.H10MO.B,656.0,-15.6111826489,0.0361508646392,0.131392198588,0.747263643254,0.196440168812,0.00639246335135
HO_FIGLA_HUMAN.H10MO.D,637.0,82.1553253745,-0.057406080866,0.133645720694,0.255476968397,0.00788235321729,0.00646457548058
HO_PPARA_HUMAN.H10MO.C,360.0,-105.836345329,0.0161664245309,0.176544136034,0.20700416511,0.654932035434,0.00651542996799
HO_ELK1_HUMAN.H10MO.A,1094.0,-50.2900910443,0.0912373067545,0.101384579702,0.103763178228,0.000747070480844,0.00678109259973
HO_KLF14_HUMAN.H10MO.D,693.0,-69.6621297079,0.0612952643895,0.127457454915,0.147811284984,0.0159357000031,0.00694305271023
