motif,counts,distance,mds,ks_stat,pval_distance,pval_mds,pval_ks
HO_HMGA1_HUMAN.H10MO.D,111832.0,-29.1032069509,0.0207191089814,0.0309986022011,1.76339469249e-07,0.0,0.0
HO_RARG_HUMAN.H10MO.S,68802.0,-35.5340789469,0.0264168779153,0.0382520608054,3.64983105072e-07,0.0,0.0
HO_RARB_HUMAN.H10MO.D,41040.0,-49.5192607202,0.0358902184765,0.0532183852335,7.11182537305e-08,0.0,0.0
HO_VDR_HUMAN.H10MO.S,192049.0,-29.6873952953,0.023111901872,0.03148791231,5.6310511809e-13,0.0,0.0
HO_THA_HUMAN.H10MO.C,21555.0,-59.0204724579,0.0397856490145,0.0638551088459,3.62897802653e-06,0.0,0.0
HO_IKZF1_HUMAN.H10MO.C,106841.0,-44.1443380876,0.0263983238634,0.0459668658095,6.66133814775e-15,0.0,0.0
HO_PAX5_HUMAN.H10MO.S,97472.0,-44.3372680291,0.039849246458,0.0477184425151,4.37427871702e-14,0.0,0.0
HO_RARA_HUMAN.H10MO.S,90595.0,-30.074708119,0.0209101183432,0.0319841914344,5.77584067463e-07,0.0,0.0
HO_NKX25_HUMAN.H10MO.C,78196.0,-27.1806637168,0.0146203474577,0.0293620438674,3.57076817064e-05,5.16253706451e-13,2.00950367457e-14
HO_TFDP1_HUMAN.H10MO.D,20146.0,-27.4502692799,0.0214517755319,0.0518752330638,0.000181239033244,0.000141235009409,3.59678953288e-12
HO_MAZ_HUMAN.H10MO.A,29048.0,-26.3038452888,0.0235614133467,0.0423910464926,0.000116804233796,1.02541548586e-07,1.04265485135e-11
HO_TBX5_HUMAN.H10MO.D,21834.0,-48.6749115465,0.0213611549381,0.0499766754242,0.000111845168991,3.43933295177e-08,1.22860610574e-11
HO_KLF15_HUMAN.H10MO.D,5605.0,-68.2852981853,0.0362874464821,0.0952449384524,0.0010964734272,2.2078988009e-05,1.89812610074e-11
HO_MAFA_HUMAN.H10MO.D,1047.0,-147.886091275,0.0905816143301,0.212584722477,0.00498028698509,1.93812353277e-06,7.70270514039e-11
HO_SP4_HUMAN.H10MO.D,21775.0,-23.3514132696,0.0144034205337,0.0443944227371,0.000629964684593,0.00747657287454,1.01292663146e-09
HO_SP2_HUMAN.H10MO.C,22698.0,-23.9234587196,0.019241987468,0.0422585649919,0.000395805856411,0.00026966805539,3.35789329675e-09
HO_SRY_HUMAN.H10MO.B,50264.0,-22.4335616399,0.00681284280075,0.0280840336212,0.00640975580624,0.00385142749242,1.13363380905e-08
HO_SOX10_HUMAN.H10MO.D,108411.0,15.6660703285,-0.0116534957955,0.018881699979,0.00376084439115,2.47859510694e-11,1.18280507611e-08
HO_FOXO1_HUMAN.H10MO.C,27722.0,-30.4922466323,0.00946673674031,0.0373781143878,0.00566939247915,0.00259667477839,1.58315923704e-08
HO_THB_HUMAN.H10MO.C,7108.0,-64.0111816292,0.0481805590849,0.0741885812052,0.00379282040086,4.61564120258e-12,1.8296192783e-08
HO_HTF4_HUMAN.H10MO.B,12041.0,-44.5489228045,0.0324619928158,0.0525558920939,0.00647984056127,1.92875704297e-08,2.77781728841e-07
HO_FOXJ3_HUMAN.H10MO.S,17349.0,-35.4800988467,0.0109125049166,0.0422408942291,0.0122880399094,0.00593859830285,8.52324203993e-07
HO_SNAI2_HUMAN.H10MO.C,92948.0,-12.9344302607,0.0118011482614,0.0179786868691,0.0258919522124,9.14169540067e-09,1.05840852471e-06
HO_FOXL1_HUMAN.H10MO.D,20932.0,-38.3937321824,0.0126957234496,0.0373096118601,0.00282921993696,0.000420454346961,2.01099180508e-06
HO_FUBP1_HUMAN.H10MO.D,15909.0,-32.948031332,0.0139692490376,0.0422966209995,0.0231972211715,0.00132409140673,2.32210959972e-06
HO_SP3_HUMAN.H10MO.B,24504.0,-17.5297958037,0.0145110596825,0.0333633663644,0.0153810699563,0.0024928720549,2.53566542252e-06
HO_TBX2_HUMAN.H10MO.D,4232.0,-61.7748999353,0.0254009197659,0.0791574063094,0.0303013719181,0.00457556407324,7.53427278155e-06
HO_PITX1_HUMAN.H10MO.D,1492.0,62.0032639918,-0.102465456918,0.128204413473,0.16508914299,2.54289058699e-08,1.19260872022e-05
HO_FOXG1_HUMAN.H10MO.D,26509.0,-30.1684187198,0.00884966130374,0.0307226162361,0.00825380636106,0.0056722302461,1.36545377681e-05
HO_FOXD3_HUMAN.H10MO.D,23649.0,-24.4855418115,0.0041064426581,0.0309268353439,0.03931092081,0.250181465499,3.85911189669e-05
HO_SOX15_HUMAN.H10MO.D,75017.0,11.1100392955,-0.0135591003837,0.0162919765245,0.0876186946595,1.0942180495e-10,0.000119039688166
HO_TGIF1_HUMAN.H10MO.S,87289.0,-13.3005496679,0.00972646711123,0.0149902420469,0.0271721362566,1.18152462658e-06,0.000152027658086
HO_GATA1_HUMAN.H10MO.A,1336.0,85.0460684481,-0.0629649595687,0.117948024737,0.0320943632446,0.00152307805716,0.00016775720233
HO_SP1_HUMAN.H10MO.C,17188.0,-14.7737023463,0.0117988788567,0.0320618343386,0.0857182437546,0.0382313851332,0.00030084742103
HO_CPEB1_HUMAN.H10MO.D,30619.0,-17.3261816257,0.0119276269245,0.0244586457742,0.102977177056,5.6386010739e-05,0.000307405320946
HO_BRCA1_HUMAN.H10MO.D,7237.0,41.3914546508,-0.0231669690864,0.049370649157,0.0457101809978,0.00102215571474,0.000323899677403
HO_FOXJ3_HUMAN.H10MO.A,10861.0,-28.8484409944,0.00788372477843,0.0409726087484,0.105295701171,0.115592716807,0.000346880037225
HO_KLF6_HUMAN.H10MO.D,35606.0,-18.5172471014,0.0135720940957,0.0220671931922,0.0118023939259,0.000501391252324,0.000369349616765
HO_LMX1B_HUMAN.H10MO.D,4237.0,-42.6573183428,0.0152734336648,0.064590049008,0.14586113592,0.0361401775544,0.000412945612341
HO_PAX5_HUMAN.H10MO.A,6378.0,-43.8611866326,0.0366846086704,0.0519817415069,0.0565968393109,3.44308043854e-07,0.000547629735592
HO_ZN148_HUMAN.H10MO.D,14974.0,-26.5429981737,0.00861363009335,0.033088649453,0.0286977455045,0.108363874535,0.000565896520814
HO_FOXC2_HUMAN.H10MO.D,1329.0,48.3472151633,-0.0234460920889,0.110181099467,0.237644578881,0.204456432068,0.000623995610072
HO_SP1_HUMAN.H10MO.S,9332.0,-19.0827424409,0.0285017334985,0.0413781710386,0.0975199289205,0.000333411511347,0.000688598583293
HO_EGR1_HUMAN.H10MO.S,2580.0,-55.0096643708,0.0442187958504,0.0778971075996,0.00899421347234,0.00524389908604,0.00075861148308
HO_ZN219_HUMAN.H10MO.D,4332.0,-42.7764997552,0.0316444146096,0.0611021816868,0.118876558695,0.000433860535836,0.000811211874022
HO_ITF2_HUMAN.H10MO.B,18008.0,-27.3968637779,0.0184400343286,0.0293720555745,0.035868925046,0.000122131399632,0.00114813800863
HO_THAP1_HUMAN.H10MO.D,1607.0,-54.8494127464,0.0632115867452,0.0926037263288,0.0452833867576,0.00507233637389,0.00192301680205
HO_OTX1_HUMAN.H10MO.D,21328.0,-21.4769949514,0.00999071709241,0.0258667508948,0.0867676651718,0.00956534893036,0.00201349211542
HO_GATA6_HUMAN.H10MO.S,109703.0,4.74562583183,-0.00927729471832,0.0113791782998,0.387175937379,1.30103909868e-08,0.00205316860357
HO_EGR4_HUMAN.H10MO.D,7935.0,-27.8345460404,0.0229019493827,0.0412650814885,0.0324479735591,0.0116420052103,0.00238588115219
HO_GLIS3_HUMAN.H10MO.D,1042.0,-48.3503603307,-0.00129359334809,0.112017745683,0.322512428587,0.94685746099,0.00291363670903
HO_SOX13_HUMAN.H10MO.D,21476.0,15.4156134596,-0.00999408677448,0.0247216331994,0.209287288946,0.00681456801779,0.00331064328665
HO_EGR1_HUMAN.H10MO.A,9590.0,-21.1087425809,0.0152044593845,0.036333068713,0.14402472856,0.0292649501987,0.0036775113351
HO_NKX23_HUMAN.H10MO.D,911.0,-55.8371629324,-0.0194206714944,0.117796771511,0.346205455232,0.256128718416,0.00406265630348
HO_SUH_HUMAN.H10MO.C,3053.0,50.3081720982,-0.0359654849273,0.0630936168343,0.100096512496,0.00203830347636,0.00498689312909
HO_EGR2_HUMAN.H10MO.C,3094.0,-32.3354988314,0.0276324904782,0.0618087521785,0.107902257813,0.0539028999757,0.00529477578542
HO_EVI1_HUMAN.H10MO.B,431.0,135.267264281,-0.0529396115988,0.165226733515,0.113461156864,0.0333201315602,0.0058589171901
HO_ARNT_HUMAN.H10MO.B,3267.0,37.0175729538,-0.0139102844223,0.0590279045984,0.179574239075,0.242895828666,0.00697248319967
HO_LHX2_HUMAN.H10MO.D,710.0,54.5123389443,-0.022765452123,0.127759464589,0.440691368137,0.258461372606,0.00704272302965
HO_LEF1_HUMAN.H10MO.C,70980.0,5.707528,-0.0109240724282,0.0127596683807,0.392628319875,3.89703484149e-07,0.0071495950148
HO_WT1_HUMAN.H10MO.D,6275.0,-30.6578097805,0.0242219296158,0.0422695215863,0.0539941624523,0.00768192335009,0.00748055814022
HO_PBX2_HUMAN.H10MO.C,891.0,-77.1541810553,0.0201885514871,0.112673992674,0.209074571911,0.225875399375,0.00774869480054
HO_HXD13_HUMAN.H10MO.D,2662.0,-35.3920193241,0.0104251422426,0.0653465136505,0.316258291632,0.330538753058,0.00815310862465
HO_RREB1_HUMAN.H10MO.D,3314.0,-20.2971959358,0.0266792011604,0.0579811199313,0.497483438764,0.00222412552301,0.00819194774982
HO_TBX15_HUMAN.H10MO.D,14297.0,-19.186414172,0.00860674413306,0.0274579879116,0.132838110263,0.0818308333256,0.00928699984504
HO_TF7L2_HUMAN.H10MO.A,1038.0,59.9474406179,0.00025025025025,0.101534455784,0.263525302955,0.989014415317,0.00986502194567
HO_PO4F3_HUMAN.H10MO.D,463.0,79.6739890085,0.00188492063492,0.153430253514,0.360780572304,0.933118773413,0.0107187499382
HO_FOXD1_HUMAN.H10MO.D,1183.0,-59.0463963435,0.0626606911192,0.0946984714981,0.196073186715,0.00378215780782,0.0109249445434
HO_TEAD3_HUMAN.H10MO.D,1373.0,64.2146677745,-0.0154633930546,0.0870769066932,0.191817085358,0.29103584335,0.0127532215622
HO_RAX2_HUMAN.H10MO.D,1487.0,-68.8821010744,0.0392640464257,0.0830527497194,0.146956007183,0.00378400590527,0.0137140443241
