fileID,k,K,n,N,pvalue
HO_AHR_HUMAN.H10MO.B.bed,0,14,502.0,27167.0,0.459714336708
HO_AIRE_HUMAN.H10MO.C.bed,0,40,463.0,26653.0,0.991701681194
HO_ALX1_HUMAN.H10MO.B.bed,0,35,502.0,27167.0,0.959247513315
HO_ALX3_HUMAN.H10MO.D.bed,1,46,502.0,27167.0,0.417415235825
HO_ANDR_HUMAN.H10MO.A.bed,2,55,502.0,27167.0,0.162817214137
HO_AP2A_HUMAN.H10MO.C.bed,3,100,409.0,24459.0,0.174052540078
HO_AP2B_HUMAN.H10MO.B.bed,4,54,502.0,27167.0,0.00634313440139
HO_AP2C_HUMAN.H10MO.A.bed,8,164,502.0,27167.0,0.00711084707001
HO_AP2D_HUMAN.H10MO.D.bed,0,4,246.0,12206.0,0.156441768806
HO_ARI3A_HUMAN.H10MO.D.bed,4,293,502.0,27167.0,0.735460554764
HO_ARI3A_HUMAN.H10MO.S.bed,55,4134,502.0,27167.0,0.0066256815192
HO_ARI5B_HUMAN.H10MO.C.bed,0,49,502.0,27167.0,0.801255460427
HO_ARNT2_HUMAN.H10MO.D.bed,0,22,364.0,19453.0,0.680356604442
HO_ARX_HUMAN.H10MO.D.bed,1,35,502.0,27167.0,0.272603332077
HO_ASCL2_HUMAN.H10MO.D.bed,2,230,502.0,27167.0,0.399577481873
HO_ATF1_HUMAN.H10MO.B.bed,0,25,502.0,27167.0,0.745596418592
HO_ATF2_HUMAN.H10MO.B.bed,1,43,502.0,27167.0,0.376975774983
HO_ATF3_HUMAN.H10MO.A.bed,1,67,502.0,27167.0,0.70393638446
HO_ATF6A_HUMAN.H10MO.B.bed,0,0,0.0,0.0,0.0
HO_ATF7_HUMAN.H10MO.D.bed,0,9,351.0,17898.0,0.326607310613
HO_ATOH1_HUMAN.H10MO.D.bed,1,29,502.0,27167.0,0.199620041311
HO_BACH1_HUMAN.H10MO.A.bed,2,105,502.0,27167.0,0.613893894438
HO_BARH1_HUMAN.H10MO.D.bed,1,40,399.0,23065.0,0.303936071674
HO_BARH2_HUMAN.H10MO.D.bed,0,55,502.0,27167.0,0.716270821031
HO_BARX1_HUMAN.H10MO.D.bed,0,14,502.0,27167.0,0.459714336708
HO_BARX2_HUMAN.H10MO.D.bed,2,118,502.0,27167.0,0.745157822207
HO_BATF3_HUMAN.H10MO.D.bed,0,23,502.0,27167.0,0.697878133308
HO_BATF_HUMAN.H10MO.A.bed,0,32,194.0,9349.0,0.978772089517
HO_BATF_HUMAN.H10MO.S.bed,2,163,502.0,27167.0,0.835469673297
HO_BC11A_HUMAN.H10MO.C.bed,9,376,325.0,16057.0,0.465420790113
HO_BCL6_HUMAN.H10MO.C.bed,1,93,502.0,27167.0,0.970177350144
HO_BCL6B_HUMAN.H10MO.D.bed,2,9,123.0,5055.0,0.00212197163663
HO_BHA15_HUMAN.H10MO.D.bed,1,36,502.0,27167.0,0.28528240968
HO_BHE22_HUMAN.H10MO.D.bed,1,33,409.0,24459.0,0.209974623456
HO_BHE23_HUMAN.H10MO.D.bed,0,29,502.0,27167.0,0.83586063941
HO_BHE40_HUMAN.H10MO.A.bed,0,53,502.0,27167.0,0.743549208294
HO_BHE41_HUMAN.H10MO.D.bed,4,43,502.0,27167.0,0.00227884341787
HO_BMAL1_HUMAN.H10MO.C.bed,0,3,158.0,7061.0,0.131294959736
