chrom	start	stop	A2C	A2N	ACN	ACD	ACC	A2D
chr1	36337	36537	4	2	0	0	0	2
chr1	780737	781137	2	59	45	10	110	39
chr1	948337	949337	377	488	435	287	884	230
chr1	958937	960337	503	607	346	329	574	319
chr1	960337	960737	121	117	53	122	109	103
chr1	960737	960937	45	130	1	1	8	17
chr1	1093137	1093737	4	56	534	741	589	38
chr1	1093737	1094137	6	3	6	450	231	21
chr1	1112337	1112737	0	2	0	5	1	0
chr1	1240337	1241137	271	443	114	118	196	180
chr1	1244937	1245337	451	361	303	394	198	356
chr1	1250537	1250937	209	95	69	122	96	125
chr1	1296137	1296537	16	69	26	130	6	75
chr1	1296937	1297137	64	0	3	117	46	63
chr1	1335537	1335737	347	380	490	972	824	282
chr1	1343937	1344337	194	255	95	596	797	257
chr1	1344337	1344737	230	459	277	744	97	196
chr1	1344737	1345337	202	243	159	59	197	208
chr1	1345337	1345737	131	168	176	213	434	181
chr1	1345737	1346137	196	311	128	364	675	237
chr1	1346137	1347337	375	474	768	1191	750	463
chr1	1355737	1355937	0	0	0	0	0	13
chr1	1365937	1366337	221	113	604	1119	733	199
chr1	1369337	1370337	389	333	727	1595	1057	247
chr1	1370337	1370937	150	244	957	744	1107	254
chr1	1476137	1476537	72	5	207	334	27	89
chr1	1609737	1610337	143	38	1	99	12	73
chr1	1622940	1623540	587	464	1068	699	906	491
chr1	1710740	1712140	352	360	733	1186	1237	588
chr1	1712140	1713140	270	243	330	887	612	357
chr1	1713940	1714540	610	449	939	1360	645	499
chr1	1714940	1715140	51	84	49	4	95	26
chr1	2065140	2065540	56	2	80	248	68	26
chr1	2121140	2121740	3	4	189	235	16	64
chr1	2121740	2121940	0	44	3	179	6	31
chr1	2135540	2135740	157	54	490	513	348	28
chr1	2135740	2136140	246	217	993	1557	1101	253
chr1	2143540	2143940	50	115	91	6	12	1
chr1	2143940	2144940	309	401	172	532	263	266
chr1	2144940	2145140	117	93	38	218	16	49
chr1	2177740	2178340	50	70	6	132	12	90
chr1	2178940	2179340	6	8	23	5	78	3
chr1	2179340	2179740	3	33	3	144	6	8
chr1	2180140	2181140	1	76	41	165	9	65
chr1	2181140	2181540	0	71	1	1	4	7
chr1	2182940	2183140	9	0	4	0	0	0
chr1	2207340	2207940	18	102	61	61	12	17
chr1	2208940	2209140	0	0	0	1	1	3
chr1	2209140	2209740	4	4	71	3	103	27
chr1	2209740	2210140	1	21	83	57	26	10
chr1	2210140	2210740	16	28	37	0	2	2
chr1	2210740	2211740	16	38	83	79	9	36
chr1	2242540	2243540	645	457	696	1521	752	525
chr1	2245340	2246540	1059	1357	2320	4567	2767	1538
chr1	2246740	2246940	166	135	80	421	57	136
chr1	2246940	2247140	193	83	95	298	245	112
chr1	2247940	2248140	53	49	38	95	199	29
chr1	2563940	2564540	1	51	0	1	1	0
chr1	3343540	3343740	0	1	15	36	1	0
chr1	3370740	3370940	0	0	2	51	50	0
chr1	3387140	3388940	0	0	0	0	0	0
chr1	3408540	3408740	0	0	0	0	0	0
chr1	3510340	3510540	0	0	0	0	0	0
chr1	3547940	3548340	19	86	37	2	3	68
chr1	3548740	3549140	67	24	107	165	60	16
chr1	3590940	3591140	0	0	0	0	0	22
chr1	3591140	3591340	0	0	0	0	0	0
chr1	3591340	3591540	0	0	0	0	0	0
chr1	3707740	3707940	1	10	0	0	2	12
chr1	3708540	3708940	141	0	74	2	6	28
chr1	3709140	3709340	0	0	36	108	19	17
chr1	3709340	3709740	1	0	0	84	5	27
chr1	3710740	3711140	23	0	79	68	47	39
chr1	3713540	3713740	78	16	473	126	374	62
chr1	4507740	4508140	0	0	0	0	0	0
chr1	5826413	5827213	2	2	4	3	0	1
chr1	5828013	5828613	0	0	0	0	0	0
chr1	5956813	5957213	0	16	53	2	5	26
chr1	5957213	5957613	48	10	54	2	8	50
chr1	6040213	6041413	121	144	285	102	17	194
chr1	6257613	6257813	99	138	341	49	32	179
chr1	6260213	6260613	42	128	235	349	354	84
chr1	6298613	6298813	1	0	0	0	2	17
chr1	6298813	6302413	65	195	178	324	194	182
chr1	6333413	6333613	0	0	0	0	67	29
chr1	6398213	6399213	0	0	0	0	0	5
chr1	6399213	6399413	0	8	0	0	0	1
chr1	6399413	6399613	0	8	0	0	0	10
chr1	6418613	6419013	3	104	79	7	247	5
chr1	6445013	6445413	2	72	67	3	33	25
chr1	6445413	6445813	0	0	0	1	0	46
chr1	6445813	6446013	1	1	36	0	3	5
chr1	6446013	6446413	40	2	4	109	6	0
chr1	6639213	6639413	75	12	242	250	243	27
chr1	6639413	6639813	372	194	562	411	1009	237
chr1	6663613	6664413	1088	706	1296	1706	1963	806
chr1	6754413	6754613	120	46	30	6	6	53
chr1	6754613	6754813	0	10	33	40	6	3
chr1	7209413	7210213	0	0	0	0	0	8
chr1	7357413	7358013	0	0	0	0	0	0
chr1	7359413	7360013	0	23	55	1	4	0
chr1	7439613	7440013	0	0	0	0	0	0
chr1	7440013	7440213	0	0	0	0	0	0
chr1	7459413	7459613	0	0	0	0	0	0
chr1	7560413	7560613	0	0	0	0	0	0
chr1	7729813	7730413	0	0	0	0	0	0
chr1	8064213	8065213	110	198	94	253	118	163
chr1	8079413	8079613	1	73	2	76	7	2
chr1	8226013	8228413	0	0	16	1	0	0
chr1	8230213	8230613	0	0	0	0	0	0
chr1	8319413	8319813	0	0	0	0	0	0
chr1	8430613	8430813	14	54	77	3	7	1
chr1	8431413	8432813	64	119	235	5	122	76
chr1	8433613	8434213	121	224	36	118	28	47
chr1	8467613	8467813	48	28	0	4	1	15
chr1	8467813	8468013	45	43	1	4	4	20
chr1	8468013	8468213	0	38	0	0	1	0
chr1	8468213	8468413	30	92	25	3	51	21
chr1	8468613	8468813	44	41	59	8	11	19
chr1	8484413	8485013	49	210	223	210	135	173
chr1	8485013	8485813	110	123	76	108	52	100
chr1	8519413	8520213	89	82	196	194	192	71
chr1	8520813	8521013	24	18	1	3	69	1
chr1	8523613	8523813	31	2	105	180	40	49
chr1	8525813	8526213	3	0	36	3	136	0
chr1	8585413	8586213	303	169	497	70	116	211
chr1	8772213	8772413	3	104	82	5	11	46
chr1	8772413	8772613	0	20	62	7	80	66
chr1	8772613	8773213	1	76	4	5	88	1
chr1	8849413	8850213	23	70	120	109	139	75
chr1	8933013	8933413	143	225	276	370	176	313
chr1	8933413	8933613	17	12	50	95	69	94
chr1	9300813	9301013	74	40	22	101	61	119
chr1	9309613	9310413	54	40	2	6	182	1
chr1	9311413	9311813	130	2	1	43	3	0
chr1	9312813	9313213	0	1	102	87	8	38
chr1	9473413	9474013	0	0	36	2	4	0
chr1	9488413	9489013	112	85	395	1039	684	145
chr1	9598813	9599213	211	149	338	547	405	175
chr1	9750013	9750613	4	3	217	234	133	25
chr1	9774013	9778213	8	146	204	11	249	99
chr1	9781613	9782013	0	0	56	98	3	16
chr1	9820813	9822013	27	29	1	1	5	58
chr1	9919613	9920013	0	0	0	1	70	10
chr1	9948613	9948813	1	1	1	0	0	12
chr1	9950213	9950413	0	0	0	0	0	30
chr1	10106613	10106813	0	28	0	0	1	0
chr1	10239413	10239813	2	109	74	2	11	47
chr1	10399813	10400213	0	80	1	3	121	17
chr1	10408413	10409013	1	1	33	1	4	0
chr1	10447613	10448013	53	47	41	2	2	39
chr1	10616213	10616413	2	2	2	3	86	23
chr1	10743013	10743413	0	0	0	0	0	0
chr1	10764013	10764613	0	0	0	0	0	0
chr1	10798413	10798813	0	0	0	0	0	0
chr1	11040613	11041013	0	0	0	0	0	0
chr1	11113613	11114013	256	768	374	989	595	517
chr1	11345413	11347613	283	185	280	430	351	298
chr1	11348013	11348213	0	1	0	103	7	14
chr1	11358813	11359413	58	34	121	140	10	123
chr1	11433413	11434613	0	0	0	0	0	0
chr1	11559413	11559613	0	0	0	0	0	0
chr1	11559813	11560213	0	0	0	0	0	0
chr1	11560213	11560613	0	0	0	0	0	0
chr1	11742813	11743213	0	0	0	0	0	0
chr1	11743213	11743413	0	0	0	0	0	0
chr1	11744413	11745013	73	34	3	46	0	33
chr1	11749613	11750613	0	12	0	0	1	0
chr1	11791613	11792213	1	16	0	2	97	0
chr1	11844813	11845013	0	97	48	146	39	11
chr1	11845013	11845213	99	81	84	800	136	41
chr1	11847413	11847613	198	143	273	263	118	88
chr1	11847613	11847813	163	55	12	2	30	125
chr1	11847813	11848213	255	56	501	136	156	122
chr1	11848213	11848613	323	429	164	512	420	181
chr1	11943213	11943413	0	0	1	0	1	16
chr1	11967813	11968213	41	0	42	86	11	2
chr1	12003813	12004213	47	35	3	117	7	24
chr1	12004413	12005213	5	76	47	91	12	57
chr1	12039613	12040013	59	102	184	346	194	136
chr1	12126213	12126413	0	0	0	0	0	0
chr1	12206813	12207013	0	0	0	0	0	0
chr1	12309613	12310213	2	0	1	4	61	26
chr1	12654813	12655213	0	0	0	0	0	0
chr1	12688413	12688813	0	1	63	1	2	2
chr1	12689013	12690813	2	24	6	1	38	0
chr1	12696213	12697213	0	0	0	0	0	0
chr1	12776213	12776413	0	0	0	0	0	0
chr1	13927813	13928013	0	0	0	0	0	0
chr1	14462613	14463613	0	0	0	0	0	0
