chrom	start	stop	A2C	A2N	ACN	ACD	ACC	A2D
chr1	11537	11937	35	51	39	25	99	70
chr1	18137	19137	263	278	279	410	333	179
chr1	19137	21537	445	381	756	642	591	436
chr1	27537	27737	346	308	159	85	284	306
chr1	27737	28337	603	744	414	232	838	917
chr1	136537	137537	17	71	57	403	112	56
chr1	463537	464337	0	6	8	39	41	12
chr1	696537	697337	17	45	36	27	48	32
chr1	939937	941137	164	411	170	410	104	252
chr1	942137	942537	174	66	112	493	146	107
chr1	952537	952737	2	2	44	15	18	1
chr1	952737	952937	22	0	0	5	66	4
chr1	953337	953537	1	2	8	8	2	3
chr1	954337	954737	35	7	120	151	65	26
chr1	1060337	1061137	0	0	0	0	0	0
chr1	1061137	1061337	0	0	0	0	0	0
chr1	1093137	1093337	2	53	374	395	235	17
chr1	1093337	1093737	3	7	361	545	583	38
chr1	1100937	1101337	58	0	0	1	1	0
chr1	1241937	1242937	312	485	417	699	561	486
chr1	1245137	1245337	61	230	170	106	90	225
chr1	1245337	1245537	208	191	390	120	134	97
chr1	1294337	1295137	164	117	258	14	72	71
chr1	1311737	1312137	160	118	665	421	376	231
chr1	1332937	1333737	202	389	329	193	84	136
chr1	1335337	1337537	2461	2849	3219	4550	3874	2490
chr1	1340937	1341937	419	223	215	151	341	221
chr1	1364937	1365937	170	247	686	1061	742	266
chr1	1549137	1549337	0	1	2	1	59	21
chr1	1591137	1591537	44	174	126	590	242	67
chr1	1609537	1609737	25	0	0	0	2	0
chr1	1609737	1611137	144	69	103	247	17	73
chr1	1618137	1618337	0	0	0	0	0	0
chr1	1680340	1681140	95	45	226	150	170	58
chr1	1689540	1690140	53	47	49	49	5	43
chr1	1690140	1690340	56	20	0	1	1	0
chr1	1690340	1690740	18	12	89	2	7	26
chr1	1699740	1699940	1	0	0	0	2	30
chr1	1699940	1700940	101	28	2	151	42	83
chr1	1763940	1764940	166	281	111	14	26	161
chr1	1764940	1766140	142	239	384	125	257	176
chr1	1790340	1790740	0	28	2	1	73	27
chr1	1791140	1791540	0	0	1	1	1	17
chr1	1791540	1791940	1	1	65	0	4	16
chr1	1812540	1813340	56	158	8	383	48	67
chr1	1851140	1852340	211	164	592	1655	2041	179
chr1	1872940	1875140	2	47	87	55	110	19
chr1	1980540	1981540	304	172	250	521	361	157
chr1	2035940	2036940	30	30	1	110	6	2
chr1	2036940	2037340	0	0	0	1	0	1
chr1	2065140	2066140	57	19	111	308	137	32
chr1	2067140	2068340	80	0	1	0	1	78
chr1	2068340	2068540	0	0	0	0	0	0
chr1	2068540	2070140	0	31	0	167	9	1
chr1	2070140	2070540	0	0	97	3	1	1
chr1	2139140	2140140	0	2	4	9	166	40
chr1	2164940	2166740	57	171	159	297	55	63
chr1	2179140	2180740	24	78	8	310	177	57
chr1	2181140	2181340	0	71	0	1	3	1
chr1	2181340	2181540	0	40	1	0	4	6
chr1	2181540	2183340	108	19	238	5	11	38
chr1	2183340	2183540	0	0	0	0	0	0
chr1	2201940	2202740	26	26	123	1	5	42
chr1	2324740	2325740	411	323	259	462	475	417
chr1	2325740	2325940	13	49	173	268	20	72
chr1	2480340	2480940	21	17	479	246	369	45
chr1	2480940	2481140	0	0	0	0	0	0
chr1	2509140	2509340	0	0	0	0	0	0
chr1	2509340	2509940	0	0	0	12	0	0
chr1	3138940	3139540	0	0	0	0	0	0
chr1	3154340	3155740	2	0	0	60	150	0
chr1	3155740	3155940	0	0	0	0	0	0
chr1	3167140	3167740	0	0	0	0	0	0
chr1	3208540	3211140	0	0	110	109	95	1
chr1	3211140	3211540	0	0	0	0	0	0
chr1	3233340	3233540	0	2	0	130	2	0
chr1	3235740	3235940	0	0	0	0	0	0
chr1	3236140	3236340	0	0	2	98	3	0
chr1	3236340	3240140	1	0	100	2	2	2
chr1	3240140	3240740	1	1	3	89	1	1
chr1	3242940	3243140	0	0	0	0	0	0
chr1	3243140	3243940	0	0	0	0	0	0
chr1	3243940	3245540	0	2	1	131	7	0
chr1	3247140	3247540	0	0	0	0	0	0
chr1	3247540	3247740	0	0	0	0	0	0
chr1	3247740	3247940	0	0	25	0	2	0
chr1	3249340	3249540	0	0	0	0	0	0
chr1	3249540	3250140	0	0	0	0	0	0
chr1	3250140	3250540	0	0	0	0	0	0
chr1	3250540	3253340	0	0	0	0	0	0
chr1	3254340	3255140	0	0	0	0	0	0
chr1	3255140	3258140	0	0	1	100	3	0
chr1	3258140	3258340	0	0	0	0	0	0
chr1	3265140	3265740	0	0	0	0	0	0
chr1	3265740	3266340	0	1	0	1	48	0
chr1	3271340	3271940	0	2	0	133	5	0
chr1	3271940	3272540	0	0	0	0	0	0
chr1	3272540	3273140	0	0	1	3	47	0
chr1	3273140	3273340	0	0	0	0	0	0
chr1	3339340	3339540	0	0	0	0	0	0
chr1	3339540	3340140	0	1	2	119	6	1
chr1	3357340	3358940	0	0	0	0	0	0
chr1	3369940	3370940	0	48	2	51	50	0
chr1	3374140	3378140	37	0	123	120	9	31
chr1	3378140	3378540	0	0	1	0	62	0
chr1	3387340	3387540	0	0	0	0	0	0
chr1	3387540	3387940	0	0	0	0	0	0
chr1	3387940	3388140	0	0	0	0	0	0
chr1	3388140	3388940	0	0	0	0	0	0
chr1	3388940	3389140	0	0	0	0	0	0
chr1	3397140	3397340	0	0	0	0	0	0
chr1	3649740	3650940	987	742	553	720	780	697
chr1	3650940	3651140	218	207	69	22	291	125
chr1	3691540	3693140	1351	887	1041	1286	2005	1097
chr1	3693140	3693340	187	233	133	450	779	243
chr1	3701940	3702140	20	168	1	2	11	11
chr1	3819140	3820140	35	47	87	229	74	28
chr1	3820140	3820540	0	0	0	0	1	19
chr1	4324940	4326140	0	0	0	0	0	0
chr1	4326140	4327540	0	0	0	0	0	0
chr1	4327540	4327740	0	0	0	0	0	0
chr1	4327740	4329140	0	0	0	0	0	0
chr1	4329140	4329740	0	0	0	0	0	0
chr1	4329940	4332340	0	0	0	0	0	0
chr1	4333540	4334140	0	0	0	0	0	0
chr1	4334340	4334540	0	0	0	0	0	0
chr1	5993213	5994813	75	80	44	109	306	122
chr1	5994813	5995013	0	0	2	0	0	14
chr1	6008613	6009213	0	19	89	1	3	0
chr1	6009213	6010213	42	0	0	0	1	1
chr1	6010213	6010813	2	0	2	0	0	12
chr1	6013613	6015013	34	72	14	2	6	67
chr1	6015013	6015413	1	1	17	4	67	0
chr1	6015413	6015813	0	0	0	0	0	0
chr1	6015813	6016813	0	15	0	1	3	0
chr1	6016813	6017413	0	12	0	0	0	13
chr1	6364613	6364813	7	9	8	5	15	2
chr1	6414013	6414613	1	1	1	61	5	0
chr1	6417413	6418013	57	18	68	65	8	2
